kylla123,20240517114044286694,21,7
kylla123,20240517124741000952,21,7
mama,20240517153905465379,15,5
oakland,20240517122912477687,9,3
lala,20240517160323638925,9,3
oakland,20240517122316243534,6,2
oakland,20240517124424725362,6,2
oakland,20240517124522617928,6,2
pogi,20240517153107484616,6,2
maya,20240517154503084759,6,2
